[79, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[80, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[81, [-0.04, -0.01, 0.91, -1, 2, 1, 23.19], 0.0664166],
[82, [-0.03, -0.01, 0.91, -1, 2, 1, 23.28], 0.0664166],
[83, [-0.03, -0.01, 0.9, -1, 1, 1, 23.09], 0.0664166],
[84, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[85, [-0.04, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[86, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[87, [-0.03, -0.0, 0.91, -2, 1, 1, 23.33], 0.0664166],
[88, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[89, [-0.03, -0.01, 0.9, -1, 1, 1, 23.19], 0.0664166],
[90, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[91, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[92, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[93, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[94, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[95, [-0.04, -0.0, 0.91, -1, 2, 1, 23.19], 0.0664166],
[96, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[97, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[98, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[99, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[100, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[101, [-0.04, -0.0, 0.91, -1, 1, 1, 23.24], 0.0664166],
[102, [-0.02, -0.01, 0.91, -1, 1, 1, 23.19], 0.0664166],
[103, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[104, [-0.04, -0.01, 0.91, -1, 2, 1, 23.28], 0.0664166],
[105, [-0.04, -0.01, 0.91, -2, 1, 1, 23.38], 0.0664166],
[106, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[107, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[108, [-0.03, -0.01, 0.91, -2, 1, 1, 23.24], 0.0664166],
[109, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[110, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[111, [-0.03, -0.0, 0.91, -2, 1, 1, 23.28], 0.0664166],
[112, [-0.03, -0.01, 0.9, -2, 1, 1, 23.19], 0.0664166],
[113, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[114, [-0.03, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[115, [-0.03, -0.01, 0.9, -2, 1, 1, 23.19], 0.0664166],
[116, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[117, [-0.03, -0.02, 0.9, -2, 1, 1, 23.28], 0.0664166],
[118, [-0.04, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[119, [-0.03, -0.0, 0.9, -2, 1, 1, 23.24], 0.0664166],
[120, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[121, [-0.04, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[122, [-0.03, -0.01, 0.91, -1, 2, 1, 23.28], 0.0664166],
[123, [-0.04, -0.0, 0.91, -1, 1, 1, 23.24], 0.0664166],
[124, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[125, [-0.04, -0.0, 0.91, -1, 2, 1, 23.33], 0.0664166],
[126, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[127, [-0.04, -0.01, 0.92, -1, 1, 1, 23.28], 0.0664166],
[128, [-0.04, -0.01, 0.9, -1, 2, 1, 23.28], 0.0664166],
[129, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[130, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[131, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[132, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[133, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[134, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[135, [-0.04, -0.0, 0.91, -2, 1, 1, 23.28], 0.0664166],
[136, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[137, [-0.03, -0.01, 0.9, -2, 1, 1, 23.38], 0.0664166],
[138, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[139, [-0.03, -0.0, 0.91, -2, 1, 1, 23.28], 0.0664166],
[140, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[141, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[142, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[143, [-0.04, -0.0, 0.91, -2, 1, 0, 23.33], 0.0664166],
[144, [-0.1, -0.0, 0.89, 0, 1, 3, 23.33], 0.0664166],
[145, [-0.03, 0.0, 0.91, -2, 1, 1, 23.24], 0.0664166],
[146, [-0.03, -0.01, 0.9, -1, 1, -2, 23.28], 0.0664166],
[147, [-0.04, -0.0, 0.89, -1, 2, 1, 23.24], 0.0664166],
[148, [-0.04, -0.0, 0.91, -1, 1, 1, 23.24], 0.0664166],
[149, [-0.05, -0.0, 0.9, -2, 2, 0, 23.33], 0.0664166],
[150, [-0.03, -0.0, 0.91, -2, 2, 0, 23.28], 0.0664166],
[151, [-0.06, -0.01, 0.9, -2, 2, 0, 23.33], 0.0664166],
[152, [-0.04, -0.01, 0.91, 0, 4, 0, 23.33], 0.0664166],
[153, [-0.06, 0.01, 0.92, -1, 4, -1, 23.24], 0.0664166],
[154, [-0.02, 0.0, 0.9599999, -1, 2, -7, 23.24], 0.0664166],
[155, [-0.06, -0.01, 0.93, 1, 1, -4, 23.33], 0.0664166],
[156, [-0.02, -0.01, 0.93, -8, -3, 3, 23.33], 0.0664166],
[157, [-0.04, -0.04, 0.9, -3, -1, -4, 23.33], 0.0664166],
[158, [-0.06, 0.04, 0.9599999, 1, 2, -13, 23.28], 0.0664166],
[159, [-0.02, 0.01, 0.91, 6, 3, -22, 23.24], 0.0664166],
[160, [-0.05, 0.06, 0.95, -4, 1, -30, 23.28], 0.0664166],
[161, [-0.04, 0.01, 0.91, -6, -13, -51, 23.28], 0.0664166],
[162, [0.05, 0.05, 0.9700001, -4, -5, -41, 23.28], 0.0664166],
[163, [0.02, 0.04, 0.86, 20, 5, -68, 23.38], 0.0664166],
[164, [0.02, 0.04, 0.89, 12, -15, -48, 23.19], 0.0664166],
[165, [0.01, 0.03, 0.92, 2, -6, -42, 23.24], 0.0664166],
[166, [-0.0, 0.04, 0.94, 4, 0, -54, 23.38], 0.0664166],
[167, [0.03, 0.03, 0.86, -2, 11, -62, 23.33], 0.0664166],
[168, [-0.01, 0.0, 0.88, 7, 16, -74, 23.38], 0.0664166],
[169, [0.06, -0.01, 0.89, 13, 2, -83, 23.28], 0.0664166],
[170, [0.03, 0.09, 0.82, 9, 7, -63, 23.28], 0.0664166],
[171, [-0.06, 0.06, 0.86, 8, 15, -44, 23.19], 0.0664166],
[172, [0.01, 0.09, 0.99, 13, -3, -58, 23.28], 0.0664166],
[173, [-0.05, 0.02, 0.89, 7, 2, -55, 23.33], 0.0664166],
[174, [-0.11, 0.11, 0.91, 2, -19, -54, 23.33], 0.0664166],
[175, [-0.04, 0.05, 0.85, -5, -11, -49, 23.28], 0.0664166],
[176, [-0.06, 0.06, 0.89, -3, 6, -53, 23.24], 0.0664166],
[177, [-0.01, 0.1, 0.9, -8, -1, -62, 23.38], 0.0664166],
[178, [-0.05, 0.01, 0.83, -9, 4, -44, 23.28], 0.0664166],
[179, [-0.07, 0.06, 0.98, -7, 10, -41, 23.28], 0.0664166],
[180, [-0.03, -0.05, 0.92, -8, -16, -43, 23.42], 0.0664166],
[181, [-0.09, -0.01, 0.85, -14, 2, -43, 23.33], 0.0664166],
[182, [-0.08, 0.0, 0.89, -6, 7, -48, 23.38], 0.0664166],
[183, [-0.03, -0.02, 0.91, -11, 4, -53, 23.24], 0.0664166],
[184, [-0.03, 0.0, 0.93, -1, -6, -25, 23.28], 0.0664166],
[185, [-0.03, 0.11, 0.9, -2, 11, -9, 23.28], 0.0664166],
[186, [-0.1, -0.07, 0.87, 3, -3, -5, 23.28], 0.0664166],
[187, [-0.02, -0.01, 0.92, 1, -8, 2, 23.28], 0.0664166],
[188, [0.02, 0.07, 0.9599999, -3, 7, -3, 23.33], 0.0664166],
[189, [-0.08, -0.03, 0.88, -5, -2, -18, 23.19], 0.0664166],
[190, [-0.01, -0.03, 0.93, -11, 11, -26, 23.28], 0.0664166],
[191, [-0.05, -0.06, 0.91, -6, 5, -23, 23.28], 0.0664166],
[192, [0.05, 0.06, 0.92, 7, 8, -1, 23.28], 0.0664166],
[193, [-0.03, -0.04, 0.92, 1, 0, 19, 23.33], 0.0664166],
[194, [-0.04, 0.03, 0.93, -3, 5, 9, 23.33], 0.0664166],
[195, [-0.06, -0.05, 0.86, -5, 9, 6, 23.28], 0.0664166],
[196, [-0.03, 0.03, 0.95, -2, -7, 10, 23.38], 0.0664166],
[197, [-0.04, -0.01, 0.89, -3, -7, 10, 23.28], 0.0664166],
[198, [-0.04, 0.0, 0.95, -11, 0, 10, 23.28], 0.0664166],
[199, [-0.01, -0.02, 0.91, 0, -15, 1, 23.28], 0.0664166],
[200, [-0.04, -0.0, 0.89, 1, -9, 6, 23.28], 0.0664166],
[201, [0.01, -0.01, 0.9, 8, 7, 2, 23.42], 0.0664166],
[202, [-0.02, -0.01, 0.91, 3, 11, 4, 23.28], 0.0664166],
[203, [-0.04, -0.05, 1.33, -8, -5, 6, 23.38], 0.0664166],
[204, [-0.03, 0.02, 0.91, -1, 2, 0, 23.33], 0.0664166],
[205, [-0.03, -0.0, 0.91, 0, 1, 1, 23.38], 0.0664166],
[206, [-0.03, -0.0, 0.9, -2, 1, 4, 23.38], 0.0664166],
[207, [-0.04, -0.0, 0.9, -2, 1, 4, 23.33], 0.0664166],
[208, [-0.03, -0.01, 0.91, -2, 1, 3, 23.38], 0.0664166],
[209, [-0.04, -0.01, 0.91, -2, 1, 2, 23.33], 0.0664166],
[210, [-0.03, -0.01, 0.9, -2, 1, 2, 23.33], 0.0664166],
[211, [-0.04, -0.0, 0.9, -2, 1, 2, 23.28], 0.0664166],
[212, [-0.04, -0.01, 0.91, -2, 1, 2, 23.28], 0.0664166],
[213, [-0.03, -0.01, 0.91, -2, 1, 2, 23.28], 0.0664166],
[214, [-0.04, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[215, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[216, [-0.04, -0.0, 0.9, -2, 1, 1, 23.28], 0.0664166],
[217, [-0.04, -0.0, 0.9, -2, 1, 1, 23.33], 0.0664166],
[218, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[219, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[220, [-0.03, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[221, [-0.03, -0.0, 0.9, -1, 2, 1, 23.33], 0.0664166],
[222, [-0.03, -0.0, 0.91, -2, 1, 1, 23.28], 0.0664166],
[223, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[224, [-0.03, -0.0, 0.91, -2, 1, 1, 23.33], 0.0664166],
[225, [-0.03, -0.01, 0.91, -2, 1, 1, 23.38], 0.0664166],
[226, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[227, [-0.04, 0.0, 0.91, -1, 1, 1, 23.19], 0.0664166],
[228, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[229, [-0.03, -0.0, 0.9, -1, 1, 1, 23.24], 0.0664166],
[230, [-0.03, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[231, [-0.04, 0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[232, [-0.04, -0.01, 0.92, -1, 1, 1, 23.33], 0.0664166],
[233, [-0.03, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[234, [-0.04, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[235, [-0.04, -0.0, 0.9, -2, 1, 1, 23.28], 0.0664166],
[236, [-0.04, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[237, [-0.04, -0.0, 0.9, -2, 1, 1, 23.28], 0.0664166],
