[79, [-0.01, 0.0, 0.9, -2, 1, 1, 23.42], 0.06760312],
[80, [-0.01, 0.01, 0.91, -2, 1, 1, 23.38], 0.06760312],
[81, [-0.01, 0.01, 0.91, -2, 1, 1, 23.33], 0.06760312],
[82, [-0.01, 0.01, 0.9, -2, 1, 1, 23.42], 0.06760312],
[83, [-0.02, -0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[84, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[85, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[86, [-0.0, -0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[87, [-0.0, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[88, [-0.01, 0.01, 0.91, -2, 1, 1, 23.38], 0.06760312],
[89, [-0.01, 0.01, 0.89, -1, 1, 1, 23.33], 0.06760312],
[90, [-0.01, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[91, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[92, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[93, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[94, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[95, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[96, [-0.02, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[97, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[98, [-0.02, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[99, [-0.01, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[100, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[101, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[102, [-0.01, 0.0, 0.9, -2, 1, 1, 23.33], 0.06760312],
[103, [-0.01, 0.01, 0.9, -1, 1, 1, 23.28], 0.06760312],
[104, [-0.02, 0.0, 0.9, -2, 1, 1, 23.38], 0.06760312],
[105, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[106, [-0.01, 0.0, 0.9, -1, 1, 1, 23.28], 0.06760312],
[107, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[108, [-0.02, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[109, [-0.01, 0.01, 0.9, -2, 1, 1, 23.42], 0.06760312],
[110, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[111, [-0.02, 0.01, 0.9, -1, 1, 1, 23.47], 0.06760312],
[112, [-0.02, 0.0, 0.9, -2, 1, 1, 23.33], 0.06760312],
[113, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[114, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[115, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[116, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[117, [-0.0, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[118, [-0.01, 0.01, 0.91, -1, 1, 1, 23.42], 0.06760312],
[119, [-0.0, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[120, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[121, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[122, [-0.0, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[123, [-0.01, -0.01, 0.91, -1, 1, 1, 23.28], 0.06760312],
[124, [-0.01, 0.0, 0.9, -1, 1, 1, 23.28], 0.06760312],
[125, [-0.01, 0.01, 0.91, -1, 1, 1, 23.42], 0.06760312],
[126, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[127, [-0.01, 0.01, 0.9, -1, 1, 1, 23.47], 0.06760312],
[128, [-0.01, -0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[129, [-0.01, 0.01, 0.9, -2, 1, 1, 23.38], 0.06760312],
[130, [-0.02, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[131, [-0.0, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[132, [-0.01, 0.0, 0.9, -2, 1, 1, 23.42], 0.06760312],
[133, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[134, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[135, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[136, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[137, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[138, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[139, [0.0, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[140, [-0.01, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[141, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[142, [-0.01, -0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[143, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[144, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[145, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[146, [-0.01, 0.0, 0.91, -2, 1, 1, 23.42], 0.06760312],
[147, [-0.01, 0.0, 0.9, -2, 1, 1, 23.42], 0.06760312],
[148, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[149, [-0.01, 0.01, 0.91, -2, 1, 1, 23.38], 0.06760312],
[150, [-0.01, 0.0, 0.91, -2, 2, 1, 23.33], 0.06760312],
[151, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[152, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[153, [-0.01, 0.0, 0.9, -2, 1, 1, 23.33], 0.06760312],
[154, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[155, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[156, [-0.01, -0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[157, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[158, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[159, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[160, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[161, [-0.01, -0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[162, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[163, [-0.0, 0.0, 0.9, -2, 2, 1, 23.28], 0.06760312],
[164, [-0.0, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[165, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[166, [-0.01, -0.0, 0.9, -2, 1, 1, 23.28], 0.06760312],
[167, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[168, [-0.01, 0.01, 0.91, -1, 1, 1, 23.33], 0.06760312],
[169, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[170, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[171, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[172, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[173, [-0.01, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[174, [-0.01, 0.0, 0.9, -2, 1, 1, 23.47], 0.06760312],
[175, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[176, [-0.01, 0.01, 0.91, -1, 2, 1, 23.38], 0.06760312],
[177, [-0.01, 0.01, 0.91, -1, 2, 1, 23.33], 0.06760312],
[178, [-0.01, 0.0, 0.92, -1, 1, 1, 23.33], 0.06760312],
[179, [-0.0, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[180, [-0.01, 0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[181, [-0.01, 0.0, 0.9, -1, 2, 1, 23.33], 0.06760312],
[182, [-0.01, -0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[183, [-0.01, 0.0, 0.91, -1, 2, 1, 23.38], 0.06760312],
[184, [-0.01, 0.01, 0.92, -1, 1, 1, 23.33], 0.06760312],
[185, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[186, [-0.01, 0.0, 0.91, -2, 1, 1, 23.33], 0.06760312],
[187, [-0.01, 0.01, 0.91, -1, 1, 1, 23.47], 0.06760312],
[188, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[189, [-0.01, 0.0, 0.9, -2, 1, 1, 23.38], 0.06760312],
[190, [-0.0, 0.01, 0.91, -2, 1, 1, 23.42], 0.06760312],
[191, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[192, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[193, [-0.01, -0.0, 0.9, -2, 1, 1, 23.38], 0.06760312],
[194, [-0.02, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[195, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[196, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[197, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[198, [-0.01, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[199, [-0.01, 0.0, 0.91, -2, 1, 1, 23.38], 0.06760312],
[200, [-0.01, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[201, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[202, [-0.01, -0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[203, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[204, [-0.01, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[205, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[206, [-0.0, 0.01, 0.91, -2, 1, 1, 23.38], 0.06760312],
[207, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[208, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[209, [-0.01, 0.0, 0.91, -1, 2, 1, 23.38], 0.06760312],
[210, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[211, [-0.01, -0.0, 0.91, -2, 1, 1, 23.42], 0.06760312],
[212, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[213, [-0.02, 0.01, 0.9, -2, 1, 1, 23.38], 0.06760312],
[214, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[215, [-0.01, 0.01, 0.89, -1, 1, 1, 23.38], 0.06760312],
[216, [-0.01, 0.01, 0.9, -1, 2, 1, 23.33], 0.06760312],
[217, [-0.01, 0.01, 0.91, -1, 1, 1, 23.42], 0.06760312],
[218, [-0.01, 0.0, 0.92, -2, 1, 1, 23.38], 0.06760312],
[219, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[220, [-0.01, 0.0, 0.91, -2, 1, 1, 23.52], 0.06760312],
[221, [-0.02, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[222, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[223, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[224, [-0.01, 0.0, 0.92, -1, 1, 1, 23.42], 0.06760312],
[225, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[226, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[227, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[228, [-0.01, 0.0, 0.91, -1, 1, 1, 23.52], 0.06760312],
[229, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[230, [-0.01, 0.0, 0.91, -1, 1, 1, 23.52], 0.06760312],
[231, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[232, [-0.01, 0.0, 0.9, -1, 1, 1, 23.33], 0.06760312],
[233, [-0.01, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[234, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[235, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[236, [-0.01, 0.0, 0.91, -2, 1, 1, 23.42], 0.06760312],
[237, [-0.01, 0.01, 0.91, -1, 1, 1, 23.38], 0.06760312],
[238, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[239, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[240, [-0.01, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[241, [-0.01, 0.0, 0.91, -2, 1, 1, 23.42], 0.06760312],
[242, [-0.0, 0.01, 0.9, -1, 1, 1, 23.47], 0.06760312],
[243, [-0.02, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[244, [-0.02, 0.0, 0.89, -1, 1, 1, 23.28], 0.06760312],
[245, [-0.01, -0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[246, [-0.0, 0.0, 0.9, -2, 1, 1, 23.38], 0.06760312],
[247, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[248, [-0.02, 0.01, 0.9, -1, 1, 1, 23.52], 0.06760312],
[249, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[250, [-0.01, 0.0, 0.9, -1, 1, 1, 23.28], 0.06760312],
[251, [-0.01, 0.0, 0.9, -2, 1, 1, 23.38], 0.06760312],
[252, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[253, [-0.01, 0.0, 0.9, -2, 1, 1, 23.42], 0.06760312],
[254, [-0.01, 0.0, 0.9, -2, 1, 1, 23.47], 0.06760312],
[255, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[256, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[257, [-0.0, 0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[258, [-0.01, 0.0, 0.91, -1, 1, 1, 23.56], 0.06760312],
[259, [-0.01, 0.01, 0.91, -1, 1, 1, 23.42], 0.06760312],
[260, [-0.01, 0.01, 0.9, -2, 1, 1, 23.42], 0.06760312],
[261, [-0.01, -0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[262, [-0.01, 0.01, 0.92, -1, 1, 1, 23.47], 0.06760312],
[263, [-0.01, 0.0, 0.9, -2, 1, 1, 23.52], 0.06760312],
[264, [-0.01, 0.0, 0.9, -2, 1, 1, 23.47], 0.06760312],
[265, [-0.01, -0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[266, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[267, [-0.01, 0.01, 0.91, -1, 1, 1, 23.47], 0.06760312],
[268, [-0.01, 0.0, 0.89, -1, 1, 1, 23.56], 0.06760312],
[269, [-0.01, -0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[270, [-0.01, 0.0, 0.91, -1, 1, 1, 23.33], 0.06760312],
[271, [-0.0, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[272, [-0.01, 0.01, 0.9, -2, 2, 1, 23.52], 0.06760312],
[273, [-0.01, 0.0, 0.91, -1, 1, 1, 23.28], 0.06760312],
[274, [-0.01, -0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[275, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[276, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[277, [-0.02, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[278, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[279, [-0.01, -0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[280, [-0.01, 0.0, 0.92, -1, 1, 1, 23.42], 0.06760312],
[281, [-0.01, 0.0, 0.91, -1, 1, 1, 23.52], 0.06760312],
[282, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[283, [-0.01, 0.0, 0.89, -1, 1, 1, 23.47], 0.06760312],
[284, [-0.01, 0.0, 0.89, -1, 1, 1, 23.42], 0.06760312],
[285, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[286, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[287, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[288, [-0.01, 0.01, 0.91, -1, 1, 1, 23.47], 0.06760312],
[289, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[290, [-0.01, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[291, [-0.0, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[292, [-0.01, -0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[293, [-0.02, 0.0, 0.9, -2, 1, 1, 23.47], 0.06760312],
[294, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[295, [-0.02, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[296, [-0.01, 0.0, 0.89, -2, 1, 1, 23.42], 0.06760312],
[297, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
