[79, [-0.03, -0.0, 0.9, -2, 1, 1, 22.91], 0.06645065],
[80, [-0.03, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[81, [-0.03, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[82, [-0.03, -0.01, 0.9, -1, 1, 1, 23.05], 0.06645065],
[83, [-0.02, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[84, [-0.04, -0.01, 0.9, -2, 1, 1, 23.71], 0.06645065],
[85, [-0.02, -0.01, 0.91, -2, 1, 1, 22.91], 0.06645065],
[86, [-0.03, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[87, [-0.03, 0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[88, [-0.03, -0.0, 0.9, -1, 1, 1, 22.86], 0.06645065],
[89, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[90, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[91, [-0.03, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[92, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[93, [-0.02, -0.01, 0.91, -1, 1, 1, 22.91], 0.06645065],
[94, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[95, [-0.03, -0.0, 0.91, -2, 1, 1, 22.91], 0.06645065],
[96, [-0.03, -0.0, 0.91, -1, 2, 1, 22.91], 0.06645065],
[97, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[98, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[99, [-0.04, -0.01, 0.9, -1, 1, 1, 23.05], 0.06645065],
[100, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[101, [-0.04, 0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[102, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[103, [-0.04, -0.0, 0.9, -2, 1, 1, 23.71], 0.06645065],
[104, [-0.04, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[105, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[106, [-0.04, -0.01, 0.91, -1, 1, 1, 22.91], 0.06645065],
[107, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[108, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[109, [-0.04, -0.0, 0.9, -1, 1, 1, 22.91], 0.06645065],
[110, [-0.04, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[111, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[112, [-0.04, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[113, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[114, [-0.03, -0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[115, [-0.03, 0.0, 0.9, -1, 1, 1, 23.0], 0.06645065],
[116, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[117, [-0.03, -0.01, 0.89, -1, 1, 1, 22.91], 0.06645065],
[118, [-0.03, -0.01, 0.91, -1, 2, 1, 23.05], 0.06645065],
[119, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[120, [-0.04, -0.01, 0.9, -2, 1, 1, 23.0], 0.06645065],
[121, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[122, [-0.04, -0.01, 0.9, -2, 1, 1, 23.05], 0.06645065],
[123, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[124, [-0.04, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[125, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[126, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[127, [-0.04, 0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[128, [-0.03, -0.0, 0.89, -1, 2, 1, 23.0], 0.06645065],
[129, [-0.03, -0.01, 0.9, -2, 1, 1, 23.0], 0.06645065],
[130, [-0.02, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[131, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[132, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[133, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[134, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[135, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[136, [-0.04, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[137, [-0.04, -0.0, 0.9, -1, 2, 1, 22.91], 0.06645065],
[138, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[139, [-0.03, -0.0, 0.9, -2, 1, 1, 23.71], 0.06645065],
[140, [-0.04, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
